TranactionCode,TransactionDate,CancelDate,TransactonNumber,CheckNumber,Payee,ReferenceNumber,CurrencyCode,BankID,ReferenceNumber,OutstandingBalance,CanceledAmount
SUB – Securities Related Item – Subscription,1/7/2012,1/9/2012,92165276,2,Investment deposit,61318216,EUR,0622-0398-4,61318216,12186401.06,3399.2
SWP – Securities Related Item – SWAP payment,1/17/2012,2/10/2012,468271684,9,Checking Costs,48236907,EUR,0839-7428-9,48236907,7946318.67,1168.58
COM – Commission,1/15/2012,2/3/2012,785876860,2,Checking Costs,72029681,USD,0421-0226-7,72029681,9212256.28,2166.75
SUB – Securities Related Item – Subscription,1/13/2012,1/20/2012,751147377,4,Citibank,93362451,GBP,0313-0912-3,93362451,12386020.89,3551
RTI – Returned item,1/20/2012,1/26/2012,745831503,9,Transfer,78928783,EUR,0611-1341-5,78928783,4897192.43,5281.87
RIG – Securities Related Item – Rights,1/17/2012,2/8/2012,19666068,7,Replenishment,84442129,EUR,0515-0339-4,84442129,16981103.44,4102.38
RED – Securities Related Item – Redemption/Withdrawal,1/29/2012,1/31/2012,473335262,5,Deposits,68501279,USD,0514-0426-0,68501279,6547411.06,1552.78
DCR – Documentary credit (used when entering a principal amount),1/6/2012,1/10/2012,495213907,5,Transfer,48078405,USD,0515-0339-4,48078405,5126931.63,6467.08
OPT – Securities Related Item – Options,1/12/2012,1/31/2012,156830763,7,Citibank,25012231,JPY,0532-0160-7,25012231,2649208.37,2243.91
FEX – Foreign exchange,1/5/2012,1/9/2012,773099816,3,Replenishment,16650563,JPY,2631-9138-7,16650563,2245905.35,5307.73
BRF – Brokerage fee,1/8/2012,1/15/2012,947544513,5,Checking Costs,61230898,EUR,0622-0398-4,61230898,14990922.83,593.48
RIG – Securities Related Item – Rights,1/10/2012,2/1/2012,996407814,4,Replenishment,59818845,USD,0540-0154-7,59818845,5393627.89,1464.46
CMT – Cash management item -Topping,1/15/2012,1/24/2012,772997323,6,Citibank,29215541,USD,0839-7428-9,29215541,16268416.87,3805.06
INT – Interest,1/18/2012,1/25/2012,875204988,5,Misc.,49596870,USD,1110-1769-4,49596870,18392364.41,5235.69
COL – Collections (used when entering a principal amount),1/21/2012,2/16/2012,160509215,5,Service Charge,63490617,EUR,0839-7428-9,63490617,13762867.41,1055.57
LBX – Lock box,1/27/2012,2/19/2012,653535694,2,Replenishment,49973430,JPY,0611-1341-5,49973430,8492134.17,3704.5
MGT – Securities Related Item – Management fees,1/8/2012,1/11/2012,834244681,6,Citibank,94681566,GBP,0515-0339-4,94681566,5883103.2,5861.79
EXT – Securities Related Item – External transfer for own account,1/19/2012,2/4/2012,411393341,27,Transfer,28411150,USD,0312-0471-0,28411150,12674615.09,1070.61
MAR – Securities Related Item – Margin payments/Receipts,1/28/2012,1/31/2012,949816811,4,Citibank,93332873,JPY,0839-7428-9,93332873,4402337.17,1905.06
EXT – Securities Related Item – External transfer for own account,1/11/2012,1/25/2012,617846217,7,Service Charge,82092230,EUR,0839-0068-0,82092230,15863807.02,991.38
PRN – Securities Related Item – Principal pay-down/pay-up,1/30/2012,2/14/2012,861560176,6,Transfer,41571661,EUR,0611-1341-5,41571661,1848897.57,3396.33
DCR – Documentary credit (used when entering a principal amount),1/25/2012,2/11/2012,474405853,7,Checking Costs,43766742,EUR,2631-9138-7,43766742,3045748.17,2920.16
LBX – Lock box,1/4/2012,1/15/2012,42226138,6,Checking Costs,78545127,EUR,0515-0339-4,78545127,8866413.94,5278.12
CPN – Securities Related Item – Coupon payments,1/8/2012,1/9/2012,811352683,5,Other,37667215,USD,0839-0068-0,37667215,16247956.76,2662.77
INT – Interest,1/23/2012,1/23/2012,444055451,28,Checking Costs,46388420,JPY,0312-0471-0,46388420,16879528.59,263.82
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/18/2012,1/28/2012,751520807,2,Transfer,8255419,USD,0839-0068-0,8255419,113909.22,12.25
UWC – Securities Related Item – Underwriting commission,1/7/2012,2/3/2012,149996356,6,Deposits,10636548,JPY,0642-0816-5,10636548,10451666.85,2129.49
CMP – Compensation claims,1/9/2012,1/16/2012,807863840,2,Service Charge,76070140,EUR,0515-0339-4,76070140,3718360.15,682.78
SWP – Securities Related Item – SWAP payment,1/7/2012,1/31/2012,826543037,5,Transfer,2369678,GBP,0550-0330-8,2369678,16962765.19,2810.31
CMN – Cash management item – Notional pooling,1/3/2012,1/10/2012,128256751,5,Replenishment,38189968,EUR,0421-0226-7,38189968,1515821.52,6130.1
LDP – Loan deposit,1/20/2012,2/8/2012,165053466,1,Investment deposit,16894978,EUR,0514-0426-0,16894978,3890813.37,4110.76
DDT – Direct Debit Item,1/30/2012,2/11/2012,177145529,1,Misc.,22344479,USD,0531-0112-1,22344479,9077305.8,1463.08
STP – Securities Related Item – Stamp duty,1/1/2012,1/9/2012,71990247,8,Investment deposit,92767914,USD,1110-1769-4,92767914,7202962.57,4603.71
RTI – Returned item,1/17/2012,2/12/2012,256230692,4,Checking Costs,91131700,USD,0839-7428-9,91131700,9247153.72,1736.21
INT – Interest,1/13/2012,1/23/2012,208275733,7,Other,55086312,EUR,0421-0226-7,55086312,14629475.19,4535.93
UWC – Securities Related Item – Underwriting commission,1/23/2012,1/23/2012,64734541,8,Deposits,79857662,JPY,0839-7428-9,79857662,3235455.78,1508.58
DDT – Direct Debit Item,1/5/2012,1/24/2012,554562225,5,Deposits,31715093,JPY,0839-0068-0,31715093,12962854.22,6486.57
EQA – Equivalent amount,1/28/2012,2/11/2012,844662027,8,Misc.,55866495,JPY,0515-0339-4,55866495,9257042.46,1406.01
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/16/2012,2/13/2012,693327464,5,Misc.,95667418,GBP,0531-0112-1,95667418,3079159.93,409.4
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/25/2012,2/13/2012,411181993,7,Deposits,3687425,EUR,0839-0068-0,3687425,18470202.59,5115.86
FEX – Foreign exchange,1/29/2012,2/20/2012,311214822,6,Other,75761563,USD,0550-0330-8,75761563,6110800.2,1945.23
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/7/2012,2/1/2012,487486791,8,Transfer,52417936,JPY,0622-0398-4,52417936,9686021.33,4171.39
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/15/2012,1/23/2012,998650986,9,Other,97834225,GBP,0611-1341-5,97834225,10657389.74,5880.36
STO – Standing order,1/26/2012,2/5/2012,920523063,1,Service Charge,68726455,JPY,1110-1769-4,68726455,6378719.89,1905.35
CLR – Cash letters/Cheques remittance,1/23/2012,2/18/2012,825383308,7,Citibank,34969867,JPY,0622-0398-4,34969867,15109069.02,56.4
EQA – Equivalent amount,1/1/2012,1/11/2012,204729781,2,Misc.,20117046,GBP,0550-0330-8,20117046,12862445.28,455.85
CMP – Compensation claims,1/26/2012,1/28/2012,484204551,2,Replenishment,31831078,GBP,0540-0154-7,31831078,2706308.72,5086.87
DIV – Securities Related Item – Dividends,1/15/2012,2/4/2012,317182694,5,Deposits,69909318,GBP,2631-9138-7,69909318,3775825.94,5724.22
CHG – Charges and other expenses,1/25/2012,2/8/2012,330966512,7,Deposits,98415828,GBP,0531-0112-1,98415828,10198822.22,5984.71
MAR – Securities Related Item – Margin payments/Receipts,1/4/2012,1/16/2012,600407691,9,Checking Costs,63385079,EUR,0622-0398-4,63385079,6283082.35,680.97
CHG – Charges and other expenses,1/10/2012,2/3/2012,638053215,4,Other,62812037,USD,1110-1769-4,62812037,7733645.13,4254.25
RTI – Returned item,1/26/2012,2/9/2012,884662034,3,Misc.,78195456,USD,0514-0426-0,78195456,7621023.78,1642.61
CMZ – Cash management item – Zero balancing,1/5/2012,1/28/2012,498282995,4,Checking Costs,15676702,EUR,0421-0226-7,15676702,11357896.19,373.1
STP – Securities Related Item – Stamp duty,1/5/2012,1/25/2012,331556539,2,Service Charge,6652403,USD,0550-0330-8,6652403,3441014.81,3283.64
LBX – Lock box,1/25/2012,1/29/2012,171578239,6,Deposits,73540606,USD,0514-0426-0,73540606,17905175.44,1540.7
TCK – Travellers cheques,1/24/2012,2/19/2012,976209244,8,Deposits,66282018,JPY,0622-0398-4,66282018,4643012.67,5657.84
CMP – Compensation claims,1/21/2012,2/16/2012,563493073,7,Citibank,16607350,GBP,0839-7428-9,16607350,9329565.3,4588.77
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/23/2012,2/12/2012,802943515,6,Deposits,36598745,JPY,0611-1341-5,36598745,15547680.43,6395.8
CHG – Charges and other expenses,1/25/2012,2/3/2012,942963724,5,Transfer,17960699,JPY,1110-1769-4,17960699,17382869.48,2603.59
ODC – Overdraft charge,1/29/2012,1/29/2012,572259554,9,Deposits,65770724,USD,0839-7428-9,65770724,3319842.41,1813.27
CPN – Securities Related Item – Coupon payments,1/9/2012,1/25/2012,687563499,3,Citibank,22267364,GBP,0532-0160-7,22267364,4022807.94,5170.8
RED – Securities Related Item – Redemption/Withdrawal,1/13/2012,2/1/2012,401537324,8,Checking Costs,48366178,GBP,0611-1341-5,48366178,15872281.17,2027.27
CMS – Cash management item – Sweeping,1/7/2012,2/4/2012,606212540,4,Misc.,73723530,USD,0839-7428-9,73723530,14626588.87,4017.27
MSC – Miscellaneous,1/24/2012,1/25/2012,782519311,5,Deposits,73642656,USD,0622-0398-4,73642656,2606957.89,3341.11
MAT – Securities Related Item – Maturity,1/19/2012,2/3/2012,968794297,9,Checking Costs,43869358,USD,0532-0160-7,43869358,9002598.96,1128.03
COM – Commission,1/26/2012,1/26/2012,747363883,8,Citibank,40673994,EUR,0313-0912-3,40673994,15195554.06,441.51
SLE – Securities Related Item – Securities lending related,1/15/2012,1/31/2012,265216000,29,Misc.,80690597,JPY,0312-0471-0,80690597,17156938.52,3739.98
STO – Standing order,1/29/2012,2/18/2012,457627003,1,Replenishment,26701689,EUR,0514-0426-0,26701689,8714425.3,4401.8
PRN – Securities Related Item – Principal pay-down/pay-up,1/15/2012,1/19/2012,174213301,7,Transfer,51046048,GBP,1110-1769-4,51046048,3090006.74,3730.84
SLE – Securities Related Item – Securities lending related,1/1/2012,1/13/2012,98699492,5,Other,53132108,USD,0532-0160-7,53132108,5924503.33,1555.05
COM – Commission,1/5/2012,1/27/2012,884669471,2,Transfer,30712103,USD,0622-0398-4,30712103,943217.98,1822.78
FEX – Foreign exchange,1/25/2012,1/26/2012,241623269,8,Citibank,70337850,USD,0421-0226-7,70337850,6122387.2,2386.03
CHG – Charges and other expenses,1/25/2012,2/15/2012,362542214,8,Transfer,79934051,USD,0531-0112-1,79934051,3377595.94,4680.03
RED – Securities Related Item – Redemption/Withdrawal,1/5/2012,1/6/2012,301443612,9,Misc.,45385689,EUR,1110-1769-4,45385689,12050011.72,1758.81
SEC – Securities (used when entering a principal amount),1/19/2012,1/23/2012,340092757,1,Service Charge,21623437,GBP,0421-0226-7,21623437,16488588.89,3837.31
TCK – Travellers cheques,1/16/2012,1/26/2012,48212927,8,Other,91953935,USD,0622-0398-4,91953935,6909084.04,4100.58
OPT – Securities Related Item – Options,1/22/2012,2/10/2012,771088319,4,Service Charge,65658706,JPY,0622-0398-4,65658706,864857.07,2933.72
SLE – Securities Related Item – Securities lending related,1/19/2012,1/20/2012,228668240,8,Investment deposit,73176745,GBP,1110-1769-4,73176745,7923830.46,3352
STO – Standing order,1/28/2012,2/7/2012,51168681,2,Deposits,64083473,GBP,0515-0339-4,64083473,11794784.87,610.49
EQA – Equivalent amount,1/16/2012,1/26/2012,102721687,6,Other,5776008,EUR,0642-0816-5,5776008,17211536.17,426.73
DIS – Securities Related Item – Gains disbursement,1/18/2012,2/15/2012,140214400,4,Misc.,1184227,GBP,0514-0426-0,1184227,15216490.5,2793.4
WAR – Securities Related Item – Warrant,1/1/2012,1/1/2012,565182299,9,Replenishment,85796230,JPY,2631-9138-7,85796230,9004689.43,3945.24
CMI – Cash management item – No detail,1/11/2012,1/15/2012,762419082,2,Misc.,61160997,EUR,0531-0112-1,61160997,11682925.74,4744.24
TRF – Transfer,1/1/2012,1/10/2012,358847812,1,Other,76493136,USD,1110-1769-4,76493136,3873773.35,334.16
MSC – Miscellaneous,1/22/2012,2/17/2012,324919467,9,Service Charge,69826484,USD,0550-0330-8,69826484,4484116.07,5365.99
REC – Securities Related Item – Tax reclaim,1/23/2012,2/1/2012,670646768,2,Deposits,62783609,USD,0550-0330-8,62783609,18221428.81,4277.59
NWI – Securities Related Item – New issues distribution,1/5/2012,1/25/2012,90845291,7,Checking Costs,33431398,EUR,0514-0426-0,33431398,7617510.09,2417.67
LDP – Loan deposit,1/17/2012,1/24/2012,742199528,6,Transfer,16568919,EUR,0642-0816-5,16568919,8114625.96,1798.88
CAS – Securities Related Item – Cash in Lieu,1/4/2012,1/18/2012,821969293,7,Misc.,84047312,EUR,1110-1769-4,84047312,3285402.28,4047.47
CMZ – Cash management item – Zero balancing,1/14/2012,1/24/2012,45786374,3,Other,98867341,EUR,0515-0339-4,98867341,4312665.07,5419.4
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/11/2012,2/3/2012,809256856,8,Investment deposit,90946769,JPY,0313-0912-3,90946769,2443398.07,5771.97
CMS – Cash management item – Sweeping,1/4/2012,1/27/2012,452414855,4,Other,30642278,JPY,0550-0330-8,30642278,4819872.24,3647.59
WAR – Securities Related Item – Warrant,1/6/2012,1/31/2012,648884015,7,Transfer,4150952,USD,1110-1769-4,4150952,17227135.22,685.44
CAS – Securities Related Item – Cash in Lieu,1/8/2012,1/20/2012,632796098,30,Replenishment,75612025,GBP,0312-0471-0,75612025,12406276.59,3638.27
CAS – Securities Related Item – Cash in Lieu,1/24/2012,1/30/2012,150274159,9,Replenishment,74006495,USD,0532-0160-7,74006495,5025405.48,3938.04
INT – Interest,1/25/2012,2/23/2012,631637702,8,Other,24099097,USD,0540-0154-7,24099097,13213281.43,3524.08
POP – Securities Related Item – Pair-off proceeds,1/5/2012,1/16/2012,759400822,1,Other,79990186,EUR,0514-0426-0,79990186,14799146.93,4129.66
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/24/2012,2/20/2012,148893162,7,Other,18895955,EUR,2631-9138-7,18895955,17669503.02,6429.87
TRA – Securities Related Item – Internal transfer for own account,1/30/2012,1/31/2012,645694594,6,Transfer,91670544,JPY,0531-0112-1,91670544,9233062.15,6282.18
MGT – Securities Related Item – Management fees,1/20/2012,2/13/2012,748818675,8,Investment deposit,45648058,USD,2631-9138-7,45648058,16789625.11,364.17
RED – Securities Related Item – Redemption/Withdrawal,1/16/2012,1/25/2012,12195792,5,Deposits,22166558,EUR,0550-0330-8,22166558,10880509.74,36.16
CMT – Cash management item -Topping,1/19/2012,1/29/2012,167752962,31,Citibank,45121138,GBP,0312-0471-0,45121138,3626092.61,2753.97
TRF – Transfer,1/14/2012,1/19/2012,713325291,7,Deposits,747839,EUR,0514-0426-0,747839,16491539.24,4791.89
INT – Interest,1/13/2012,1/26/2012,80838295,4,Investment deposit,14997318,USD,0642-0816-5,14997318,6770269.17,1313.02
CPN – Securities Related Item – Coupon payments,1/19/2012,2/10/2012,224237343,9,Service Charge,46920417,JPY,1110-1769-4,46920417,7477503.94,5335.01
STP – Securities Related Item – Stamp duty,1/3/2012,1/17/2012,870924235,2,Other,46447256,JPY,0540-0154-7,46447256,12839954.46,541.39
POP – Securities Related Item – Pair-off proceeds,1/1/2012,1/6/2012,799879553,6,Citibank,23130109,JPY,2631-9138-7,23130109,2384411.17,1122.81
NWI – Securities Related Item – New issues distribution,1/1/2012,1/20/2012,957111245,3,Replenishment,71157683,EUR,0540-0154-7,71157683,1386530.19,3005.98
MAR – Securities Related Item – Margin payments/Receipts,1/29/2012,2/14/2012,286425959,32,Checking Costs,37083220,EUR,0312-0471-0,37083220,5731798.37,5918.35
PRN – Securities Related Item – Principal pay-down/pay-up,1/15/2012,2/11/2012,150333594,5,Other,62780771,EUR,2631-9138-7,62780771,6306587.06,1905.44
SLE – Securities Related Item – Securities lending related,1/26/2012,2/1/2012,711978475,1,Transfer,62767572,JPY,0531-0112-1,62767572,8992120.33,5981.01
RTI – Returned item,1/25/2012,2/11/2012,963174128,9,Service Charge,28099252,GBP,0514-0426-0,28099252,174086.22,4425.43
LBX – Lock box,1/9/2012,1/25/2012,624084014,6,Checking Costs,24731286,USD,0514-0426-0,24731286,5371133.57,2626.54
SEC – Securities (used when entering a principal amount),1/18/2012,2/16/2012,550657181,7,Misc.,66657584,JPY,0515-0339-4,66657584,2480106.09,68.21
BNK – Securities Related Item – Bank fees,1/8/2012,1/9/2012,661348760,5,Citibank,72686927,GBP,0839-0068-0,72686927,366504.37,2883.82
NWI – Securities Related Item – New issues distribution,1/28/2012,2/10/2012,944717047,8,Misc.,84876299,USD,2631-9138-7,84876299,9476713.69,372.79
EQA – Equivalent amount,1/22/2012,2/15/2012,377563336,9,Replenishment,83756076,JPY,0532-0160-7,83756076,2876426.33,1298.75
CMI – Cash management item – No detail,1/13/2012,1/29/2012,45468203,6,Investment deposit,13156062,EUR,1110-1769-4,13156062,16718797.69,5819.84
SUB – Securities Related Item – Subscription,1/19/2012,1/25/2012,312203583,8,Checking Costs,2899582,EUR,0540-0154-7,2899582,17461794.5,2515.68
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/7/2012,1/21/2012,2278552,1,Citibank,84178818,USD,0421-0226-7,84178818,12595944.33,1730.81
STO – Standing order,1/15/2012,1/19/2012,89662830,1,Misc.,68886086,GBP,2631-9138-7,68886086,14246528.3,2982.34
CMZ – Cash management item – Zero balancing,1/15/2012,1/16/2012,936646774,3,Deposits,38430903,USD,1110-1769-4,38430903,842122.07,5907.08
TRN – Securities Related Item – Transaction fee,1/25/2012,2/18/2012,942091661,33,Transfer,52438604,USD,0312-0471-0,52438604,1869170.91,4845.09
LBX – Lock box,1/19/2012,2/7/2012,343639379,5,Service Charge,88534948,GBP,2631-9138-7,88534948,17970275,1773.15
DIS – Securities Related Item – Gains disbursement,1/2/2012,1/21/2012,126411475,9,Misc.,48830292,EUR,0622-0398-4,48830292,14210294.7,2014.31
CMT – Cash management item -Topping,1/3/2012,1/7/2012,654875777,9,Checking Costs,12433640,GBP,0515-0339-4,12433640,17768586,2106.25
SUB – Securities Related Item – Subscription,1/23/2012,1/25/2012,296801222,6,Deposits,19679926,GBP,0531-0112-1,19679926,1037758.22,6418.47
CPN – Securities Related Item – Coupon payments,1/27/2012,2/7/2012,369823202,3,Investment deposit,21899084,GBP,0514-0426-0,21899084,7114404.63,2607.08
CAS – Securities Related Item – Cash in Lieu,1/26/2012,2/2/2012,881917109,4,Transfer,45240859,GBP,0313-0912-3,45240859,7718163.28,3548.1
BOE – Bill of exchange,1/5/2012,1/10/2012,414668176,3,Transfer,57275929,USD,0532-0160-7,57275929,12209859.46,906.63
RED – Securities Related Item – Redemption/Withdrawal,1/23/2012,2/19/2012,402152536,9,Transfer,84166249,USD,0531-0112-1,84166249,9587447.3,1594.68
CMZ – Cash management item – Zero balancing,1/14/2012,1/19/2012,208249367,2,Service Charge,18026810,JPY,0313-0912-3,18026810,18459025.69,4915.05
SWP – Securities Related Item – SWAP payment,1/28/2012,2/22/2012,986262744,3,Misc.,85840805,GBP,0611-1341-5,85840805,3148293.8,3195.26
MSC – Miscellaneous,1/20/2012,2/1/2012,232611315,4,Transfer,47846892,GBP,2631-9138-7,47846892,5846279.56,6308.17
DIV – Securities Related Item – Dividends,1/28/2012,2/5/2012,84863699,3,Citibank,95453388,JPY,0531-0112-1,95453388,17553946.43,4484.88
MAT – Securities Related Item – Maturity,1/24/2012,2/1/2012,690345869,1,Replenishment,81418504,JPY,0839-7428-9,81418504,4190895.57,1843.78
SUB – Securities Related Item – Subscription,1/15/2012,1/22/2012,754922063,9,Citibank,33970439,USD,0611-1341-5,33970439,10564681.61,1029.15
EQA – Equivalent amount,1/18/2012,2/8/2012,652722601,7,Investment deposit,65432016,JPY,0642-0816-5,65432016,2632792.83,1263.98
FEX – Foreign exchange,1/1/2012,1/23/2012,424869605,3,Checking Costs,84778398,GBP,0421-0226-7,84778398,18499475.28,6266.7
COM – Commission,1/4/2012,1/21/2012,311071175,4,Checking Costs,6133582,EUR,0839-0068-0,6133582,8308729.06,6184.01
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/3/2012,1/27/2012,124688503,3,Other,26368812,JPY,0839-0068-0,26368812,8561960.04,6217.6
INT – Interest,1/4/2012,1/12/2012,487388729,1,Transfer,15759075,GBP,0540-0154-7,15759075,17847801.87,2066.42
DIV – Securities Related Item – Dividends,1/3/2012,1/21/2012,687173808,7,Replenishment,88496731,JPY,0531-0112-1,88496731,2059212.96,5445.77
RED – Securities Related Item – Redemption/Withdrawal,1/4/2012,1/6/2012,938665828,6,Checking Costs,97127374,JPY,0622-0398-4,97127374,18292284.52,3744.47
EXT – Securities Related Item – External transfer for own account,1/7/2012,1/16/2012,414470550,6,Replenishment,14606787,GBP,2631-9138-7,14606787,2709953.94,5179.23
SLE – Securities Related Item – Securities lending related,1/26/2012,2/18/2012,115760595,5,Other,11756454,EUR,0642-0816-5,11756454,5119630.46,4454.85
TCM – Securities Related Item – Tripartite collateral management,1/18/2012,2/15/2012,924812679,9,Checking Costs,86154284,GBP,0421-0226-7,86154284,15530229.76,2063.25
TRF – Transfer,1/24/2012,1/28/2012,138930859,6,Citibank,66619152,EUR,0839-0068-0,66619152,18207273.2,6410.8
SWP – Securities Related Item – SWAP payment,1/14/2012,2/8/2012,932635037,9,Checking Costs,83939777,JPY,0550-0330-8,83939777,3881439.15,2625.1
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/25/2012,1/30/2012,393223627,7,Transfer,7431533,JPY,0839-0068-0,7431533,5496598.61,1582.39
SUB – Securities Related Item – Subscription,1/30/2012,2/2/2012,133048750,5,Other,37176764,GBP,0313-0912-3,37176764,2557007.33,5020.82
STO – Standing order,1/19/2012,1/20/2012,707997520,6,Checking Costs,90079511,EUR,0515-0339-4,90079511,9505638.87,4404.74
MSC – Miscellaneous,1/1/2012,1/24/2012,352312339,9,Misc.,12388120,EUR,0313-0912-3,12388120,4118801.69,4755.12
MAR – Securities Related Item – Margin payments/Receipts,1/27/2012,2/13/2012,879585972,6,Replenishment,50476047,EUR,0515-0339-4,50476047,4760679.22,6330.06
TRA – Securities Related Item – Internal transfer for own account,1/19/2012,1/25/2012,132228097,5,Service Charge,60169556,EUR,0514-0426-0,60169556,4831892.76,333.84
UWC – Securities Related Item – Underwriting commission,1/4/2012,1/19/2012,842011419,2,Replenishment,13621974,EUR,2631-9138-7,13621974,1166263.15,3595.84
COL – Collections (used when entering a principal amount),1/9/2012,1/24/2012,244873797,7,Transfer,18961464,GBP,2631-9138-7,18961464,16320257.04,1112.9
LBX – Lock box,1/2/2012,1/20/2012,234536860,8,Replenishment,6685802,EUR,0622-0398-4,6685802,1449073.11,923.88
TCM – Securities Related Item – Tripartite collateral management,1/17/2012,1/19/2012,769340533,6,Service Charge,70660589,USD,0532-0160-7,70660589,11389856.78,925.84
DIV – Securities Related Item – Dividends,1/2/2012,1/6/2012,191742603,9,Other,88155677,JPY,0611-1341-5,88155677,4764523.74,4742.55
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/2/2012,1/16/2012,361592752,34,Other,23956390,GBP,0312-0471-0,23956390,5971425.06,3913.47
SEC – Securities (used when entering a principal amount),1/3/2012,1/16/2012,594618423,35,Other,65457892,JPY,0312-0471-0,65457892,6713419.22,2735.09
COM – Commission,1/29/2012,2/19/2012,800175943,8,Investment deposit,92994214,JPY,0421-0226-7,92994214,9301084.15,6388.59
CAS – Securities Related Item – Cash in Lieu,1/2/2012,1/11/2012,380690579,2,Citibank,74231820,EUR,0839-0068-0,74231820,2096840.44,4766.57
TRF – Transfer,1/30/2012,2/8/2012,713568042,9,Checking Costs,65081882,EUR,0421-0226-7,65081882,3053419.41,4915.28
RED – Securities Related Item – Redemption/Withdrawal,1/19/2012,2/7/2012,92725464,9,Transfer,14180953,USD,0540-0154-7,14180953,3001276.91,144.73
SWP – Securities Related Item – SWAP payment,1/13/2012,2/6/2012,894060913,9,Service Charge,36563187,EUR,0313-0912-3,36563187,13253573.56,6151.98
OPT – Securities Related Item – Options,1/17/2012,2/5/2012,270130830,3,Deposits,50881755,USD,0642-0816-5,50881755,12084571.93,4083.45
CPN – Securities Related Item – Coupon payments,1/26/2012,2/10/2012,67912156,7,Other,23997938,GBP,0642-0816-5,23997938,17884790.39,416.45
CMN – Cash management item – Notional pooling,1/20/2012,2/7/2012,813466414,8,Misc.,18163468,GBP,0839-0068-0,18163468,1016596.13,3875.9
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/6/2012,1/6/2012,772887779,5,Checking Costs,50651667,EUR,0540-0154-7,50651667,7504122.89,3748.82
DDT – Direct Debit Item,1/24/2012,2/21/2012,419751822,6,Misc.,70755238,GBP,0540-0154-7,70755238,8413705.48,27.21
DDT – Direct Debit Item,1/13/2012,1/16/2012,112571991,1,Citibank,13404171,USD,0532-0160-7,13404171,11078991.96,4955.97
TRN – Securities Related Item – Transaction fee,1/11/2012,1/18/2012,200978529,9,Checking Costs,82133213,JPY,0514-0426-0,82133213,17603558.72,3579.75
BOE – Bill of exchange,1/25/2012,2/14/2012,984123845,2,Transfer,64793418,GBP,0550-0330-8,64793418,469107.67,4913.65
SEC – Securities (used when entering a principal amount),1/15/2012,1/20/2012,172164780,6,Investment deposit,36117737,JPY,1110-1769-4,36117737,2485482.44,2143.82
CMZ – Cash management item – Zero balancing,1/21/2012,2/19/2012,648903819,5,Citibank,59285437,GBP,0531-0112-1,59285437,3313887.3,4284.38
SEC – Securities (used when entering a principal amount),1/17/2012,2/11/2012,516145279,2,Replenishment,98304655,EUR,0531-0112-1,98304655,2878817.41,2310.29
TAX – Securities Related Item – Withholding tax payment,1/2/2012,1/14/2012,435180857,8,Investment deposit,76863325,JPY,0515-0339-4,76863325,6767230.06,5259.88
STP – Securities Related Item – Stamp duty,1/13/2012,1/15/2012,400820279,4,Checking Costs,63840496,GBP,0550-0330-8,63840496,9469394.39,2516.06
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/4/2012,1/25/2012,59963935,8,Transfer,60074425,USD,0515-0339-4,60074425,16962378.69,2692.03
PRN – Securities Related Item – Principal pay-down/pay-up,1/11/2012,1/28/2012,479978618,5,Service Charge,29081029,JPY,0839-0068-0,29081029,4149771.22,5741.42
STO – Standing order,1/18/2012,1/27/2012,973930803,1,Checking Costs,69776597,JPY,0550-0330-8,69776597,4389348.26,4548.42
FEX – Foreign exchange,1/18/2012,1/28/2012,782961660,2,Replenishment,19395790,USD,0611-1341-5,19395790,4600471.91,6134.01
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/25/2012,2/8/2012,770068013,3,Deposits,22148863,GBP,0514-0426-0,22148863,6025972.43,4073.68
CMP – Compensation claims,1/24/2012,2/5/2012,482401253,6,Misc.,64245299,GBP,0421-0226-7,64245299,5841109.09,5363.78
SWP – Securities Related Item – SWAP payment,1/29/2012,2/14/2012,842891971,7,Checking Costs,55437335,EUR,1110-1769-4,55437335,11192361.15,6431.12
SUB – Securities Related Item – Subscription,1/15/2012,2/8/2012,675082694,7,Investment deposit,95678979,USD,0515-0339-4,95678979,6192163.52,4222.24
TAX – Securities Related Item – Withholding tax payment,1/29/2012,2/1/2012,823988747,4,Misc.,70309756,JPY,0622-0398-4,70309756,14622142.33,110.93
