RunDate,PickupLocation,DropoffLocation,Primary,Seconday,VehicleType,EventType,Overnight,TipGrade, CustomerType, Guide, Issues, TypeOfPayment
7/7/5,Fairview,Jefferson,Sesame Place ,Sesame Place ,Towne Car ,Private ,Yes ,None ,Individual - Existing ,No ,Accident ,Cash
11/5/8,Gilberton,Big Run,Dutch Wonderland ,Dutch Wonderland ,Green Limo ,Birthday ,Yes ,High ,Corporate - New ,Yes , ,Rewards
2/5/7,Cassandra,Jefferson,Sesame Place ,Sesame Place ,Mini Van ,Corporate ,Yes ,Low ,Individual - New ,Yes ,Weather ,Personal Credit Card
11/8/12,Big Run,Cassandra,Gettysburg ,Gettysburg ,School Bus ,Graduation ,Yes ,None ,Religous - Existing ,Yes ,Maintenance ,Rewards
7/4/8,Boswell,McVeytown,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Travel/Airport ,Yes ,Low ,Religous - Existing ,No ,Maintenance ,Invoiced
6/8/5,Gilberton,Boswell,Philadelphia Zoo ,Philadelphia Zoo ,Min Bus ,Graduation ,Yes ,Low ,Corporate - New ,Yes , ,Rewards
1/1/11,New Paris,Cassandra,Gettysburg ,Gettysburg ,School Bus ,Funeral ,Yes ,None ,School District - Existing ,No ,Personal ,Rewards
3/5/5,Big Run,New Paris,Dutch Wonderland ,Dutch Wonderland ,Mini Van ,Cruise ,No ,None ,Religous - Existing ,Yes ,Moving or Traffic Violation ,Invoiced
12/3/9,McVeytown,East Brady,Sesame Place ,Sesame Place ,Towne Car ,Birthday ,Yes ,Medium ,Individual - Existing ,No ,Moving or Traffic Violation ,Rewards
8/8/2,Fairview,New Paris,Liberty Bell ,Liberty Bell ,Sedan ,Funeral ,Yes ,Medium ,Religous - New ,No ,Maintenance ,Credit
5/11/1,Fairview,Boswell,lost river caverns ,lost river caverns ,Green Limo ,Travel/Airport ,No ,High ,Religous - New ,No ,Moving or Traffic Violation ,Personal Credit Card
1/9/3,Jefferson,Big Run,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Holiday ,No ,Medium ,Individual - Existing ,Yes ,Personal ,Invoiced
2/12/11,Fairview,East Brady,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Green Limo ,Birthday ,No ,Low ,School District - Existing ,No ,Health Related ,Cash
2/1/10,Adams,Fairview,Sesame Place ,Sesame Place ,Church Bus ,Sporting Event ,No ,High ,School District - New ,Yes ,Driver Error or Miscalculation ,Check
12/5/5,Fairview,Yorkana,Waldameer and Water World ,Waldameer and Water World ,Sedan ,Anniversary ,Yes ,High ,Religous - New ,No ,Maintenance ,Invoiced
3/1/5,Gilberton,Big Run,lost river caverns ,lost river caverns ,Green Limo ,Birthday ,No ,High ,Corporate - Existing ,No ,Health Related ,Rewards
8/11/9,Fairview,Jefferson,Philadelphia Zoo ,Philadelphia Zoo ,School Bus ,Birthday ,No ,Medium ,Religous - New ,Yes ,Personal ,Check
4/10/6,Cassandra,Jefferson,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Towne Car ,Graduation ,Yes ,Medium ,School District - Existing ,Yes ,Personal ,Rewards
1/7/6,Boswell,Gilberton,Liberty Bell ,Liberty Bell ,Church Bus ,Cruise ,Yes ,Medium ,Religous - New ,Yes , ,Cash
2/1/5,Gilberton,Cassandra,lost river caverns ,lost river caverns ,Stretch ,Travel/Airport ,Yes ,None ,School District - Existing ,No ,Health Related ,Credit
8/12/5,Gilberton,Boswell,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Mini Van ,Tour ,No ,None ,School District - Existing ,No , ,Personal Credit Card
10/7/3,Jefferson,Big Run,Philadelphia Zoo ,Philadelphia Zoo ,Sedan ,Birthday ,No ,High ,Religous - New ,No ,Personal ,Personal Credit Card
10/10/6,McVeytown,McVeytown,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Sedan ,Anniversary ,No ,Low ,Religous - Existing ,Yes ,Driver Error or Miscalculation ,Rewards
12/12/9,Liverpool,Boswell,Sesame Place ,Sesame Place ,School Bus ,Private ,Yes ,Low ,Religous - New ,No ,Driver Error or Miscalculation ,Rewards
12/1/12,East Brady,Yorkana,Dorney Park ,Dorney Park ,Towne Car ,Birthday ,Yes ,High ,School District - Existing ,No ,Driver Error or Miscalculation ,Credit
7/11/3,Boswell,Fairview,Sesame Place ,Sesame Place ,Min Bus ,Corporate ,No ,None ,Individual - New ,No ,Accident ,Credit
4/1/7,East Brady,Liverpool,Hershey park ,Hershey park ,School Bus ,Travel/Airport ,No ,None ,School District - New ,Yes ,Weather ,Credit
1/1/11,Yorkana,Adams,Kennywood Park ,Kennywood Park ,Van ,Cruise ,Yes ,Medium ,Corporate - Existing ,No , ,Invoiced
3/9/11,Cassandra,Jefferson,Kennywood Park ,Kennywood Park ,Mini Van ,Holiday ,No ,None ,Corporate - Existing ,Yes ,Health Related ,Personal Credit Card
10/5/10,Cassandra,Cassandra,Dutch Wonderland ,Dutch Wonderland ,Hummer Limo ,Holiday ,No ,Low ,Religous - New ,Yes , ,Rewards
8/6/5,Fairview,Cassandra,lost river caverns ,lost river caverns ,Limo Bus ,Corporate ,No ,High ,School District - New ,Yes ,Maintenance ,Personal Credit Card
8/8/7,Gilberton,New Paris,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Green Limo ,Anniversary ,Yes ,High ,Corporate - Existing ,Yes ,Health Related ,Cash
8/8/11,McVeytown,East Brady,Dorney Park ,Dorney Park ,Church Bus ,Private ,No ,Medium ,Individual - Existing ,No ,Moving or Traffic Violation ,Cash
4/2/10,Big Run,Fairview,Dutch Wonderland ,Dutch Wonderland ,Min Bus ,Sporting Event ,Yes ,Low ,Corporate - New ,Yes ,Health Related ,Check
9/2/11,Gilberton,Big Run,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Wedding ,No ,None ,Individual - New ,Yes ,Maintenance ,Invoiced
9/2/7,Liverpool,Big Run,Liberty Bell ,Liberty Bell ,Towne Car ,Sporting Event ,No ,Low ,School District - Existing ,No ,Weather ,Check
3/9/11,Adams,Liverpool,lost river caverns ,lost river caverns ,Hummer Limo ,Sporting Event ,No ,Low ,Corporate - New ,Yes ,Driver Error or Miscalculation ,Rewards
10/1/5,Liverpool,Big Run,Liberty Bell ,Liberty Bell ,Van ,Sporting Event ,No ,High ,School District - Existing ,No ,Accident ,Credit
5/10/8,Big Run,Liverpool,Philadelphia Zoo ,Philadelphia Zoo ,Limo Bus ,Funeral ,No ,Medium ,Religous - New ,No ,Accident ,Personal Credit Card
6/6/5,Boswell,Adams,Gettysburg ,Gettysburg ,Towne Car ,Corporate ,Yes ,Medium ,Corporate - New ,Yes ,Personal ,Cash
1/7/5,McVeytown,McVeytown,Hershey park ,Hershey park ,Mini Van ,Corporate ,No ,Low ,School District - New ,No ,Driver Error or Miscalculation ,Rewards
12/6/4,Adams,McVeytown,Dutch Wonderland ,Dutch Wonderland ,Green Limo ,Sporting Event ,No ,None ,School District - New ,No ,Maintenance ,Rewards
3/5/8,Jefferson,Liverpool,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Green Limo ,Travel/Airport ,No ,High ,Religous - New ,No ,Health Related ,Credit
7/12/4,Yorkana,Liverpool,Dutch Wonderland ,Dutch Wonderland ,Hummer Limo ,Funeral ,No ,High ,Religous - New ,Yes , ,Credit
11/12/9,New Paris,Yorkana,Dorney Park ,Dorney Park ,Mini Van ,Anniversary ,No ,High ,Religous - Existing ,No ,Health Related ,Check
9/3/9,New Paris,East Brady,lost river caverns ,lost river caverns ,Church Bus ,Funeral ,No ,Medium ,Individual - New ,Yes ,Maintenance ,Check
2/11/4,Adams,Liverpool,Waldameer and Water World ,Waldameer and Water World ,Min Bus ,Holiday ,Yes ,High ,School District - New ,Yes ,Driver Error or Miscalculation ,Personal Credit Card
7/10/2,Jefferson,Liverpool,Philadelphia Zoo ,Philadelphia Zoo ,Van ,Travel/Airport ,No ,Medium ,Corporate - New ,Yes ,Personal ,Invoiced
7/9/8,Adams,Fairview,Liberty Bell ,Liberty Bell ,Church Bus ,Travel/Airport ,No ,Low ,School District - New ,No ,Health Related ,Cash
3/7/4,McVeytown,New Paris,Kennywood Park ,Kennywood Park ,Limo Bus ,Funeral ,No ,High ,Individual - New ,Yes ,Maintenance ,Cash
4/2/8,McVeytown,Yorkana,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,School Bus ,Anniversary ,No ,Low ,Corporate - New ,Yes ,Maintenance ,Cash
3/10/10,East Brady,Big Run,Dorney Park ,Dorney Park ,Mini Van ,Tour ,No ,Low ,Corporate - New ,No ,Weather ,Check
12/4/10,Fairview,McVeytown,Dorney Park ,Dorney Park ,Ford Excursion ,Graduation ,No ,Low ,School District - New ,Yes ,Health Related ,Cash
11/8/10,Cassandra,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,Min Bus ,Corporate ,Yes ,Low ,School District - New ,Yes , ,Check
11/8/7,Boswell,New Paris,Kennywood Park ,Kennywood Park ,Hummer Limo ,Corporate ,Yes ,None ,Individual - Existing ,Yes , ,Check
5/2/12,Jefferson,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,Hummer Limo ,Wedding ,No ,Medium ,School District - Existing ,No ,Maintenance ,Personal Credit Card
2/12/3,Gilberton,Cassandra,Kennywood Park ,Kennywood Park ,Ford Excursion ,Wedding ,No ,None ,School District - New ,Yes ,Driver Error or Miscalculation ,Personal Credit Card
6/12/5,Gilberton,Yorkana,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Mini Van ,Tour ,Yes ,High ,Individual - New ,Yes ,Driver Error or Miscalculation ,Cash
7/2/12,Fairview,Liverpool,Dorney Park ,Dorney Park ,Ford Excursion ,Birthday ,No ,Medium ,Religous - Existing ,No ,Accident ,Invoiced
4/5/10,Gilberton,Cassandra,Liberty Bell ,Liberty Bell ,Church Bus ,Corporate ,No ,Low ,Corporate - Existing ,Yes ,Personal ,Credit
4/7/1,McVeytown,East Brady,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Travel/Airport ,Yes ,Low ,Religous - New ,No ,Health Related ,Rewards
2/12/3,Cassandra,Cassandra,Hershey park ,Hershey park ,Church Bus ,Travel/Airport ,No ,Low ,Corporate - New ,No ,Maintenance ,Rewards
4/4/3,Big Run,Cassandra,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,School Bus ,Sporting Event ,Yes ,High ,Corporate - New ,No ,Health Related ,Personal Credit Card
1/12/12,Jefferson,Cassandra,Kennywood Park ,Kennywood Park ,School Bus ,Anniversary ,No ,None ,Individual - New ,No ,Driver Error or Miscalculation ,Personal Credit Card
8/11/10,Yorkana,Big Run,Sesame Place ,Sesame Place ,Sedan ,Private ,Yes ,High ,Individual - Existing ,No ,Health Related ,Cash
6/9/11,Boswell,Liverpool,lost river caverns ,lost river caverns ,Mini Van ,Corporate ,No ,High ,Individual - Existing ,No ,Health Related ,Personal Credit Card
8/11/10,Boswell,Yorkana,Kennywood Park ,Kennywood Park ,School Bus ,Private ,No ,Medium ,Individual - Existing ,No ,Maintenance ,Rewards
7/8/1,Gilberton,McVeytown,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Hummer Limo ,Funeral ,Yes ,Low ,Corporate - Existing ,Yes ,Driver Error or Miscalculation ,Credit
5/4/12,Boswell,Cassandra,Waldameer and Water World ,Waldameer and Water World ,Hummer Limo ,Cruise ,Yes ,None ,Individual - New ,Yes ,Moving or Traffic Violation ,Personal Credit Card
3/7/1,Cassandra,East Brady,Sesame Place ,Sesame Place ,Stretch ,Funeral ,Yes ,High ,Individual - Existing ,No ,Weather ,Invoiced
1/9/7,McVeytown,Gilberton,Liberty Bell ,Liberty Bell ,Sedan ,Tour ,No ,High ,Religous - Existing ,No ,Personal ,Credit
7/4/1,McVeytown,Big Run,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,School Bus ,Corporate ,Yes ,Medium ,Religous - Existing ,No , ,Personal Credit Card
3/1/8,Liverpool,Big Run,Sesame Place ,Sesame Place ,School Bus ,Sporting Event ,No ,Medium ,Religous - Existing ,No ,Accident ,Personal Credit Card
3/1/2,Adams,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,Stretch ,Private ,No ,Low ,School District - New ,No ,Accident ,Check
9/4/11,McVeytown,Gilberton,Philadelphia Zoo ,Philadelphia Zoo ,Van ,Private ,No ,None ,Individual - New ,Yes ,Health Related ,Cash
10/9/8,Adams,New Paris,Waldameer and Water World ,Waldameer and Water World ,Min Bus ,Anniversary ,No ,None ,Corporate - Existing ,No ,Driver Error or Miscalculation ,Personal Credit Card
4/2/5,Boswell,East Brady,Dutch Wonderland ,Dutch Wonderland ,Van ,Private ,Yes ,Low ,Individual - New ,Yes ,Maintenance ,Check
1/6/9,Jefferson,Fairview,Kennywood Park ,Kennywood Park ,Van ,Sporting Event ,Yes ,None ,Corporate - Existing ,No ,Weather ,Cash
2/6/1,Adams,East Brady,Philadelphia Zoo ,Philadelphia Zoo ,Mini Van ,Anniversary ,No ,High ,School District - New ,Yes ,Health Related ,Cash
4/8/7,McVeytown,Fairview,Sesame Place ,Sesame Place ,School Bus ,Graduation ,No ,Medium ,Religous - New ,No , ,Cash
5/5/12,New Paris,Yorkana,lost river caverns ,lost river caverns ,Van ,Travel/Airport ,No ,None ,School District - New ,No ,Driver Error or Miscalculation ,Cash
10/7/3,Boswell,Jefferson,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Sedan ,Funeral ,Yes ,Medium ,School District - Existing ,Yes ,Accident ,Rewards
4/1/10,Big Run,McVeytown,Hershey park ,Hershey park ,School Bus ,Anniversary ,No ,Medium ,School District - New ,No ,Weather ,Check
12/2/7,Gilberton,Gilberton,Dutch Wonderland ,Dutch Wonderland ,Hummer Limo ,Wedding ,No ,Medium ,School District - New ,No ,Maintenance ,Credit
9/6/3,New Paris,Big Run,Gettysburg ,Gettysburg ,Sedan ,Cruise ,Yes ,Medium ,Individual - Existing ,Yes ,Personal ,Cash
8/3/1,New Paris,McVeytown,Waldameer and Water World ,Waldameer and Water World ,Min Bus ,Holiday ,No ,None ,Corporate - Existing ,No ,Health Related ,Check
12/3/5,Boswell,Liverpool,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,School Bus ,Private ,No ,Low ,Corporate - New ,No ,Driver Error or Miscalculation ,Personal Credit Card
2/3/10,Adams,Jefferson,Liberty Bell ,Liberty Bell ,Sedan ,Funeral ,Yes ,None ,Corporate - New ,No ,Personal ,Check
5/4/11,Adams,Fairview,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Limo Bus ,Corporate ,Yes ,None ,Individual - Existing ,No ,Driver Error or Miscalculation ,Check
12/9/12,Boswell,Fairview,Hershey park ,Hershey park ,Green Limo ,Anniversary ,No ,None ,Individual - Existing ,Yes ,Moving or Traffic Violation ,Invoiced
11/2/4,McVeytown,Liverpool,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,School Bus ,Private ,Yes ,None ,Individual - Existing ,Yes ,Accident ,Credit
1/6/3,Liverpool,Boswell,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Green Limo ,Corporate ,No ,Low ,Religous - New ,Yes ,Accident ,Credit
3/3/11,Adams,New Paris,Gettysburg ,Gettysburg ,Towne Car ,Travel/Airport ,Yes ,High ,School District - New ,No ,Weather ,Rewards
3/10/6,East Brady,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,Min Bus ,Funeral ,Yes ,High ,Religous - Existing ,No ,Driver Error or Miscalculation ,Personal Credit Card
7/6/5,Gilberton,Yorkana,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Hummer Limo ,Cruise ,No ,Low ,Individual - Existing ,No ,Driver Error or Miscalculation ,Rewards
12/10/1,Adams,Yorkana,Dorney Park ,Dorney Park ,Min Bus ,Birthday ,No ,Low ,Individual - New ,Yes ,Driver Error or Miscalculation ,Invoiced
2/3/12,Cassandra,Boswell,Sesame Place ,Sesame Place ,Towne Car ,Wedding ,No ,Medium ,Corporate - New ,No ,Weather ,Cash
2/7/9,Cassandra,Big Run,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Limo Bus ,Funeral ,Yes ,Low ,Corporate - Existing ,No ,Accident ,Cash
3/3/4,Gilberton,Fairview,lost river caverns ,lost river caverns ,Green Limo ,Wedding ,Yes ,High ,Individual - New ,Yes ,Health Related ,Personal Credit Card
3/1/1,Adams,McVeytown,Dutch Wonderland ,Dutch Wonderland ,Towne Car ,Cruise ,Yes ,None ,Religous - New ,Yes , ,Personal Credit Card
7/6/8,Adams,Adams,Philadelphia Zoo ,Philadelphia Zoo ,Stretch ,Holiday ,No ,None ,Individual - New ,No ,Health Related ,Invoiced
9/11/3,East Brady,Jefferson,Kennywood Park ,Kennywood Park ,Ford Excursion ,Birthday ,No ,Low ,School District - Existing ,Yes ,Maintenance ,Credit
12/5/10,Boswell,Gilberton,Kennywood Park ,Kennywood Park ,Hummer Limo ,Anniversary ,Yes ,Medium ,Religous - Existing ,Yes ,Accident ,Invoiced
12/8/6,Boswell,Yorkana,Sesame Place ,Sesame Place ,Green Limo ,Birthday ,Yes ,Low ,Corporate - New ,Yes ,Maintenance ,Personal Credit Card
10/7/3,Adams,McVeytown,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Limo Bus ,Funeral ,No ,Medium ,Individual - Existing ,Yes , ,Check
8/10/1,East Brady,Fairview,Liberty Bell ,Liberty Bell ,Sedan ,Sporting Event ,Yes ,High ,Corporate - Existing ,Yes ,Driver Error or Miscalculation ,Invoiced
11/1/12,Jefferson,Jefferson,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Sporting Event ,No ,Medium ,School District - New ,No ,Personal ,Check
9/6/10,McVeytown,Yorkana,Waldameer and Water World ,Waldameer and Water World ,Church Bus ,Private ,No ,Medium ,Religous - New ,No ,Health Related ,Invoiced
5/2/4,Big Run,Yorkana,Hershey park ,Hershey park ,Hummer Limo ,Wedding ,No ,Medium ,Individual - Existing ,No ,Weather ,Cash
3/5/3,Liverpool,Jefferson,lost river caverns ,lost river caverns ,Towne Car ,Anniversary ,No ,High ,Corporate - Existing ,No ,Accident ,Check
8/4/2,Adams,Yorkana,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Birthday ,Yes ,None ,Religous - Existing ,Yes ,Health Related ,Rewards
1/10/1,Big Run,Liverpool,Dutch Wonderland ,Dutch Wonderland ,Min Bus ,Travel/Airport ,Yes ,Low ,Religous - New ,No ,Driver Error or Miscalculation ,Invoiced
7/1/8,Fairview,Liverpool,Waldameer and Water World ,Waldameer and Water World ,Towne Car ,Birthday ,Yes ,Low ,Religous - Existing ,Yes ,Moving or Traffic Violation ,Cash
4/12/1,Boswell,Liverpool,lost river caverns ,lost river caverns ,Ford Excursion ,Funeral ,No ,Medium ,Corporate - New ,No ,Driver Error or Miscalculation ,Check
9/1/3,McVeytown,Boswell,Liberty Bell ,Liberty Bell ,Min Bus ,Sporting Event ,Yes ,High ,Individual - Existing ,Yes ,Personal ,Rewards
2/6/6,Gilberton,Gilberton,Dutch Wonderland ,Dutch Wonderland ,Towne Car ,Cruise ,No ,Low ,Religous - New ,No ,Maintenance ,Invoiced
11/12/1,Fairview,Cassandra,Gettysburg ,Gettysburg ,Green Limo ,Corporate ,Yes ,None ,School District - Existing ,Yes ,Weather ,Cash
4/10/10,Cassandra,Big Run,Waldameer and Water World ,Waldameer and Water World ,Limo Bus ,Private ,No ,Medium ,School District - Existing ,No , ,Cash
5/3/7,Jefferson,Gilberton,Hershey park ,Hershey park ,Church Bus ,Tour ,No ,Low ,Religous - New ,Yes ,Health Related ,Check
11/5/11,New Paris,Cassandra,Kennywood Park ,Kennywood Park ,School Bus ,Tour ,No ,Low ,School District - Existing ,Yes ,Accident ,Rewards
10/4/11,Yorkana,Fairview,Gettysburg ,Gettysburg ,Towne Car ,Birthday ,Yes ,Medium ,Individual - New ,Yes ,Weather ,Credit
9/4/8,Fairview,Liverpool,Sesame Place ,Sesame Place ,Hummer Limo ,Corporate ,Yes ,Medium ,Religous - New ,Yes ,Moving or Traffic Violation ,Cash
2/1/3,McVeytown,Boswell,Liberty Bell ,Liberty Bell ,Green Limo ,Tour ,Yes ,Low ,Corporate - New ,No , ,Check
4/7/12,Big Run,Jefferson,Kennywood Park ,Kennywood Park ,Sedan ,Holiday ,No ,High ,Individual - Existing ,Yes , ,Cash
6/5/5,East Brady,McVeytown,Dutch Wonderland ,Dutch Wonderland ,Ford Excursion ,Birthday ,Yes ,Medium ,School District - New ,Yes ,Accident ,Invoiced
6/5/5,Gilberton,McVeytown,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Green Limo ,Holiday ,Yes ,None ,Individual - Existing ,No ,Maintenance ,Check
10/2/1,McVeytown,Fairview,Gettysburg ,Gettysburg ,Min Bus ,Birthday ,No ,None ,Corporate - New ,No ,Moving or Traffic Violation ,Rewards
8/12/10,Yorkana,Boswell,Liberty Bell ,Liberty Bell ,School Bus ,Private ,Yes ,High ,School District - New ,Yes , ,Personal Credit Card
10/1/8,Gilberton,Yorkana,Philadelphia Zoo ,Philadelphia Zoo ,Min Bus ,Wedding ,No ,Medium ,School District - New ,Yes ,Weather ,Rewards
6/2/12,Big Run,Cassandra,Waldameer and Water World ,Waldameer and Water World ,Min Bus ,Holiday ,No ,High ,Religous - New ,Yes ,Moving or Traffic Violation ,Invoiced
5/5/7,Boswell,Adams,Sesame Place ,Sesame Place ,Ford Excursion ,Tour ,No ,High ,Corporate - New ,Yes ,Weather ,Check
4/8/7,Adams,Fairview,Waldameer and Water World ,Waldameer and Water World ,Church Bus ,Cruise ,Yes ,Medium ,Religous - Existing ,No , ,Invoiced
9/9/6,Cassandra,Cassandra,Kennywood Park ,Kennywood Park ,Ford Excursion ,Funeral ,Yes ,High ,Corporate - Existing ,Yes ,Accident ,Check
3/4/4,Adams,Gilberton,Waldameer and Water World ,Waldameer and Water World ,Green Limo ,Graduation ,Yes ,High ,Individual - Existing ,Yes ,Moving or Traffic Violation ,Cash
1/1/4,New Paris,Boswell,Gettysburg ,Gettysburg ,Limo Bus ,Cruise ,No ,Low ,Individual - New ,No ,Health Related ,Rewards
2/3/11,Gilberton,Big Run,Dorney Park ,Dorney Park ,Mini Van ,Birthday ,Yes ,High ,Corporate - Existing ,Yes ,Health Related ,Rewards
6/9/5,Cassandra,East Brady,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Mini Van ,Private ,No ,None ,School District - Existing ,Yes ,Health Related ,Invoiced
12/11/5,East Brady,Yorkana,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Van ,Tour ,No ,Low ,Individual - Existing ,No ,Accident ,Cash
3/7/6,Yorkana,Liverpool,Waldameer and Water World ,Waldameer and Water World ,Stretch ,Wedding ,No ,Medium ,Corporate - New ,Yes ,Moving or Traffic Violation ,Rewards
2/12/7,Fairview,Liverpool,Liberty Bell ,Liberty Bell ,Towne Car ,Anniversary ,Yes ,Medium ,School District - Existing ,No ,Maintenance ,Personal Credit Card
5/12/12,Big Run,Fairview,Sesame Place ,Sesame Place ,Stretch ,Holiday ,No ,None ,Religous - New ,No ,Personal ,Rewards
3/11/11,Adams,East Brady,Waldameer and Water World ,Waldameer and Water World ,Stretch ,Corporate ,No ,Low ,Corporate - Existing ,Yes ,Health Related ,Check
4/8/9,McVeytown,Big Run,Philadelphia Zoo ,Philadelphia Zoo ,Church Bus ,Birthday ,Yes ,High ,Religous - New ,No ,Personal ,Cash
10/8/12,Fairview,Boswell,Philadelphia Zoo ,Philadelphia Zoo ,Hummer Limo ,Anniversary ,Yes ,Low ,School District - New ,Yes ,Health Related ,Personal Credit Card
5/10/6,Fairview,Adams,Dutch Wonderland ,Dutch Wonderland ,Mini Van ,Birthday ,No ,High ,School District - Existing ,Yes ,Driver Error or Miscalculation ,Credit
4/4/1,McVeytown,Yorkana,Liberty Bell ,Liberty Bell ,Min Bus ,Birthday ,No ,None ,School District - Existing ,No ,Maintenance ,Personal Credit Card
2/6/11,New Paris,McVeytown,Liberty Bell ,Liberty Bell ,Van ,Sporting Event ,Yes ,Medium ,Religous - Existing ,Yes ,Driver Error or Miscalculation ,Credit
12/11/6,New Paris,McVeytown,lost river caverns ,lost river caverns ,Hummer Limo ,Wedding ,No ,None ,School District - Existing ,Yes ,Maintenance ,Cash
12/9/3,Boswell,Adams,Hershey park ,Hershey park ,Sedan ,Holiday ,Yes ,None ,School District - Existing ,No ,Weather ,Cash
3/10/11,New Paris,Jefferson,Kennywood Park ,Kennywood Park ,Ford Excursion ,Anniversary ,No ,Medium ,Religous - New ,Yes ,Maintenance ,Personal Credit Card
8/3/6,Adams,Cassandra,Dutch Wonderland ,Dutch Wonderland ,School Bus ,Anniversary ,No ,Low ,Individual - New ,Yes ,Accident ,Personal Credit Card
12/7/7,Fairview,Gilberton,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Sedan ,Private ,No ,Medium ,School District - New ,Yes ,Driver Error or Miscalculation ,Rewards
7/8/8,Yorkana,Gilberton,lost river caverns ,lost river caverns ,Min Bus ,Holiday ,No ,High ,Corporate - Existing ,Yes ,Health Related ,Rewards
11/12/9,Boswell,Adams,Sesame Place ,Sesame Place ,Hummer Limo ,Tour ,Yes ,None ,Individual - Existing ,No ,Health Related ,Personal Credit Card
6/11/9,McVeytown,New Paris,Sesame Place ,Sesame Place ,Min Bus ,Funeral ,No ,Medium ,Religous - Existing ,No ,Driver Error or Miscalculation ,Check
2/8/2,New Paris,Jefferson,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Van ,Anniversary ,Yes ,None ,Corporate - New ,Yes ,Accident ,Credit
6/12/1,Yorkana,New Paris,Dutch Wonderland ,Dutch Wonderland ,Min Bus ,Corporate ,No ,Medium ,Corporate - Existing ,Yes ,Accident ,Personal Credit Card
10/11/8,Gilberton,Gilberton,Dutch Wonderland ,Dutch Wonderland ,Van ,Graduation ,Yes ,Low ,School District - New ,No ,Moving or Traffic Violation ,Rewards
6/12/9,Yorkana,Liverpool,Kennywood Park ,Kennywood Park ,Green Limo ,Cruise ,Yes ,High ,School District - Existing ,Yes ,Personal ,Rewards
4/8/12,Big Run,East Brady,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Sedan ,Tour ,Yes ,None ,School District - New ,Yes ,Personal ,Cash
8/5/4,Jefferson,New Paris,lost river caverns ,lost river caverns ,Green Limo ,Travel/Airport ,Yes ,Medium ,School District - New ,No ,Moving or Traffic Violation ,Check
2/2/9,Yorkana,Yorkana,Gettysburg ,Gettysburg ,Mini Van ,Wedding ,No ,Medium ,Individual - Existing ,No , ,Personal Credit Card
7/8/12,McVeytown,Fairview,Gettysburg ,Gettysburg ,Towne Car ,Private ,No ,None ,Religous - Existing ,No ,Health Related ,Credit
12/1/12,Big Run,Fairview,Sesame Place ,Sesame Place ,Mini Van ,Holiday ,Yes ,None ,School District - Existing ,No , ,Rewards
7/4/8,Fairview,New Paris,lost river caverns ,lost river caverns ,Limo Bus ,Private ,No ,None ,Religous - New ,No ,Moving or Traffic Violation ,Invoiced
12/4/2,Jefferson,McVeytown,Liberty Bell ,Liberty Bell ,Green Limo ,Wedding ,No ,Medium ,School District - New ,Yes ,Weather ,Rewards
3/8/6,New Paris,Fairview,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Green Limo ,Private ,Yes ,Medium ,Corporate - New ,No , ,Check
2/9/1,Boswell,New Paris,Hershey park ,Hershey park ,Sedan ,Wedding ,No ,Medium ,Corporate - Existing ,Yes ,Accident ,Cash
1/3/1,Yorkana,McVeytown,Liberty Bell ,Liberty Bell ,Church Bus ,Holiday ,No ,None ,Religous - Existing ,No ,Personal ,Invoiced
